0	1027	5
14	978	3
28	1086	4
42	970	3
56	1013	2
70	1059	3
84	1042	3
98	1034	5
112	976	4
126	950	2
140	996	3
154	1003	5
168	1023	4
182	964	3
196	993	4
210	995	4
224	981	3
238	1083	4
252	1008	3
266	1025	4
280	1021	4
294	1003	4
308	950	2
322	1032	3
336	992	4
350	1058	3
364	1025	4
378	1032	3
392	963	4
406	978	3
420	1031	3
434	1007	4
448	982	4
462	998	3
476	1029	5
490	938	3
504	1035	2
518	993	4
532	1051	3
546	973	4
560	1011	3
574	1008	3
588	1044	3
602	1002	4
616	1009	2
630	1042	2
644	1019	4
658	956	5
672	1004	3
686	1043	4
700	946	4
714	1016	4
728	1013	3
742	973	2
756	951	1
770	948	3
784	991	4
798	983	2
812	992	4
826	1019	2
840	1070	4
854	1066	4
868	1017	3
882	961	3
896	976	3
910	982	4
924	975	3
938	993	3
952	1028	5
966	1082	4
980	1062	3
994	985	3
1008	964	3
1022	1023	4
1036	1063	6
1050	939	3
1064	1026	1
1078	965	3
1092	1005	1
1106	1012	3
1120	1002	1
1134	975	2
1148	1006	2
1162	993	4
1176	1033	3
1190	1015	4
1204	973	3
1218	1022	2
1232	1030	4
1246	1022	5
1260	977	4
1274	970	3
1288	1002	2
1302	1011	2
1316	946	4
1330	1036	5
1344	917	3
1358	997	4
1372	1001	4
1386	998	4
1400	1077	3
1414	1027	4
1428	990	2
1442	973	3
1456	966	4
1470	988	5
1484	996	2
1498	961	4
1512	1044	5
1526	967	4
1540	968	4
1554	1011	4
1568	980	5
1582	967	2
1596	1000	2
1610	1022	3
1624	965	1
1638	995	5
1652	1020	5
1666	967	3
1680	1060	3
1694	1012	3
1708	1020	3
1722	1020	4
1736	962	4
1750	1021	3
1764	1017	4
1778	972	4
1792	968	3
1806	999	5
1820	981	2
1834	1001	3
1848	1071	5
1862	1079	3
1876	1037	4
1890	1031	4
1904	978	2
1918	1021	3
1932	1025	3
1946	1052	3
1960	1007	6
1974	978	3
1988	999	4
2002	1045	3
2016	1027	2
2030	1002	3
2044	1010	4
2058	965	4
2072	940	5
2086	1017	6
2100	985	4
2114	1007	3
2128	1016	4
2142	1008	3
2156	1001	4
2170	1049	2
2184	999	6
2198	1004	4
2212	951	2
2226	1039	3
2240	1009	4
2254	1014	5
2268	992	2
2282	1017	4
2296	1029	1
2310	958	3
2324	1035	5
2338	1008	3
2352	1051	2
2366	971	3
2380	952	3
2394	962	4
2408	1010	2
2422	1005	3
2436	1019	1
2450	1008	4
2464	1002	3
2478	1024	2
2492	1019	4
2506	989	4
2520	1097	3
2534	985	4
2548	980	4
2562	1033	2
2576	1014	5
2590	1029	3
2604	949	4
2618	982	4
2632	1000	3
2646	1005	4
2660	999	4
2674	969	2
2688	1016	3
2702	1042	3
2716	1017	3
2730	954	2
2744	974	4
2758	962	5
2772	1027	4
2786	995	5
2800	1016	3
2814	987	3
2828	975	2
2842	974	4
2856	977	3
2870	966	3
2884	992	5
2898	1031	4
2912	1058	3
2926	1029	3
2940	1001	4
2954	989	4
2968	1026	4
2982	1032	5
2996	1011	5
3010	1049	4
3024	1036	3
3038	984	2
3052	959	3
3066	970	4
3080	924	5
3094	1012	4
3108	1041	5
3122	937	3
3136	982	4
3150	991	4
3164	993	1
3178	1004	3
3192	1029	4
3206	1018	4
3220	969	2
3234	966	1
3248	1002	3
3262	968	3
3276	1068	3
3290	981	3
3304	974	4
3318	990	4
3332	994	1
3346	952	2
3360	989	3
3374	989	4
3388	964	4
3402	1004	4
3416	1004	3
3430	1020	3
3444	1053	3
3458	960	4
3472	967	2
3486	994	4
3500	980	3
3514	1011	3
3528	1036	3
3542	1011	2
3556	986	3
3570	998	3
3584	1007	1
3598	1006	3
3612	972	4
3626	1008	4
3640	945	3
3654	982	3
3668	1001	3
3682	1014	4
3696	1017	5
3710	980	4
3724	993	4
3738	1018	3
3752	991	4
3766	1004	2
3780	950	3
3794	1043	4
3808	1023	4
3822	987	4
3836	1015	4
3850	998	3
3864	998	4
3878	930	2
3892	1011	3
3906	974	3
3920	1044	4
3934	1035	2
3948	1001	4
3962	1017	4
3976	951	3
3990	999	6
4004	1026	3
4018	970	3
4032	1026	3
4046	1010	3
4060	989	3
4074	1009	2
4088	1012	3
4102	1030	3
4116	978	4
4130	1014	6
4144	1007	5
4158	977	2
4172	968	3
4186	1000	3
4200	1016	5
4214	937	3
4228	992	2
4242	977	3
4256	965	4
4270	1049	4
4284	1017	3
4298	986	4
4312	1062	1
4326	1018	4
4340	986	4
4354	981	2
4368	950	2
4382	986	1
4396	966	5
4410	1020	3
4424	955	3
4438	975	4
4452	1016	5
4466	1003	3
4480	1039	3
4494	987	3
4508	960	4
4522	1018	3
4536	1005	2
4550	1001	2
4564	976	2
4578	1004	4
4592	1002	3
4606	983	3
4620	985	3
4634	973	3
4648	1019	3
4662	971	3
4676	993	5
4690	1004	5
4704	944	2
4718	989	4
4732	955	2
4746	1010	3
4760	988	4
4774	983	3
4788	1010	4
4802	1035	4
4816	997	4
4830	1068	3
4844	1013	3
4858	944	2
4872	963	2
4886	993	5
4900	1038	3
4914	988	2
4928	1008	4
4942	1023	3
4956	1004	3
4970	1028	5
4984	973	4
4998	1055	3
5012	1050	3
5026	947	3
5040	969	4
5054	960	3
5068	979	2
5082	1021	3
5096	1018	2
5110	981	5
5124	1023	2
5138	1052	3
5152	981	4
5166	955	3
5180	1001	3
5194	968	4
5208	943	5
5222	1044	4
5236	971	5
5250	1034	2
5264	1028	4
5278	991	3
5292	995	4
5306	1018	5
5320	993	3
5334	999	3
5348	1077	4
5362	1035	2
5376	952	3
5390	1036	3
5404	990	2
5418	1048	5
5432	995	2
5446	927	3
5460	1002	4
5474	1000	5
5488	1031	3
5502	1062	5
5516	965	4
5530	929	3
5544	1000	2
5558	998	2
5572	960	3
5586	1020	3
5600	990	4
5614	1000	4
5628	997	3
5642	950	2
5656	1023	4
5670	981	2
5684	967	2
5698	1020	2
5712	918	3
5726	1048	5
5740	1032	3
5754	998	3
5768	1009	2
5782	1000	4
5796	968	2
5810	1017	4
5824	995	3
5838	1011	4
5852	1021	3
5866	1008	3
5880	1002	4
5894	974	5
5908	1001	4
5922	959	3
5936	998	3
5950	997	3
5964	987	2
5978	976	3
5992	1040	3
6006	1006	4
6020	991	2
6034	998	5
6048	1032	4
6062	997	3
6076	1019	3
6090	1022	3
6104	1014	4
6118	1045	5
6132	982	3
6146	986	2
6160	1047	4
6174	1005	4
6188	975	2
6202	991	3
6216	988	2
